ObservationDate,Confirmed,Deaths,Recovered
2020-01-26,2.0,0.0,0.0
2020-01-27,2.0,0.0,0.0
2020-01-28,2.0,0.0,0.0
2020-01-29,2.0,0.0,0.0
2020-01-30,2.0,0.0,0.0
2020-01-31,2.0,0.0,0.0
2020-03-10,144.0,2.0,2.0
2020-03-11,177.0,3.0,2.0
2020-03-12,221.0,4.0,6.0
2020-03-13,282.0,4.0,6.0
2020-03-14,340.0,5.0,6.0
2020-03-15,426.0,6.0,6.0
2020-03-16,557.0,7.0,6.0
2020-03-17,698.0,12.0,6.0
2020-03-18,751.0,13.0,0.0
2020-03-19,952.0,18.0,0.0
2020-03-20,1177.0,23.0,0.0
2020-03-21,1364.0,24.0,0.0
2020-03-22,1646.0,30.0,0.0
2020-03-23,2108.0,39.0,0.0
2020-03-24,2538.0,50.0,0.0
2020-03-25,2998.0,65.0,0.0
2020-03-26,3899.0,81.0,0.0
2020-03-27,4657.0,94.0,0.0
2020-03-28,5095.0,110.0,0.0
2020-03-29,5852.0,124.0,0.0
2020-03-30,7138.0,146.0,0.0
2020-03-31,8210.0,173.0,0.0
2020-04-01,9420.0,198.0,0.0
2020-04-02,10792.0,237.0,0.0
2020-04-03,12032.0,265.0,0.0
2020-04-04,12839.0,287.0,0.0
2020-04-05,15035.0,348.0,0.0
2020-04-06,16036.0,380.0,0.0
2020-04-07,17369.0,429.0,0.0
2020-04-08,18934.0,497.0,0.0
2020-04-09,19745.0,547.0,0.0
2020-04-10,21120.0,586.0,0.0
2020-04-11,21709.0,606.0,0.0
2020-04-12,22805.0,643.0,0.0
2020-04-13,23956.0,713.0,0.0
2020-04-14,25427.0,766.0,0.0
2020-04-15,26719.0,866.0,0.0
2020-04-16,27687.0,962.0,0.0
2020-04-17,29470.0,1044.0,0.0
2020-04-18,30785.0,1140.0,0.0
2020-04-19,31660.0,1178.0,0.0
2020-04-20,33946.0,1223.0,0.0
2020-04-21,35778.0,1278.0,0.0
2020-04-22,37731.0,1425.0,0.0
2020-04-23,39946.0,1530.0,0.0
2020-04-24,41803.0,1620.0,0.0
2020-04-25,42771.0,1689.0,0.0
2020-04-26,43887.0,1725.0,0.0
2020-04-27,45381.0,1779.0,0.0
2020-04-28,46714.0,1861.0,0.0
2020-04-29,49310.0,1946.0,0.0
2020-04-30,50712.0,2029.0,0.0
2020-05-01,52536.0,2128.0,0.0
2020-05-02,53833.0,2181.0,0.0
2020-05-03,55323.0,2218.0,0.0
2020-05-04,56419.0,2280.0,0.0
2020-05-05,59039.0,2379.0,0.0
2020-05-06,61245.0,2464.0,0.0
2020-05-07,62869.0,2537.0,0.0
2020-05-08,64543.0,2617.0,0.0
